id,name,desc,lat,lng,img
1,"Taipei Arena (台北小巨蛋)","第一次的見面
第一次的相遇
讓我在這場生日會裡感受到不一樣的體驗～
子秦生日快樂🎂
雖然由於口袋不夠深，沒有拍到照片
但我有寫卡片希望你有看到👀
（找亮點😋",25.051,121.550,"https://static.hidol.com/hidol/fanclub/5337F9C5-235B-4F19-9735-D8839408BAA1-22D7D34D-B0ED-41D2-839B-1F857442754A.jpeg"
2,"Nangang Exhibition Center (南港展覽館)","大型演唱會與見面會的指標場地。",25.056,121.618,"https://images.unsplash.com/photo-1492684223066-81342ee5ff30?q=80&w=600"
3,"Kaohsiung Music Center (高雄流行音樂中心)","大型演唱會與見面會的指標場地。",22.619,120.287,"https://images.unsplash.com/photo-1540039155733-5bb30b53aa14?q=80&w=600"
4,"Taoyuan Arena (桃園巨蛋)","大型演唱會與見面會的指標場地。",24.996,121.322,"https://images.unsplash.com/photo-1497911270199-1c552ee64aa4?q=80&w=600"
5,"Taipei Arena (台北小巨蛋)","第一次的見面
又一次的見面😋",25.051,121.550,"https://media.vogue.com.tw/photos/698389756d00cac0fcff3d6f/master/w_2240,c_limit/imgi_2_620860723_18328974688301316_2825531390205569765_n.jpg"
