year,title,type,sales,img,desc,link
2024.12.19,"心動感應站","大型活動","1,000+","https://gamania-official-website.s3.ap-southeast-1.amazonaws.com/wordpress/wp-content/uploads/2024/12/26025722/post-3-pic-1.jpg","以AI科技 x IP娛樂為主軸，攜手偶像團體 FEniX、原子少年2人氣團ARKis、幽靈水晶CRYXTAL，及橘子集團原創孵育計畫的音樂人與IP圖文創作者，結合AI技術打造三大體驗裝置","https://hidol.fans/9hOGG"
2025,"[fake]源少年見面會","偶像見面會","500+","https://static.hidol.com/hidol/fanclub/3829604c-598e-4676-91fd-0d0c2722974f-1764855118321.jpg","源少年的見面會，並沒有發生","https://www.hidol.com/explore?q=%E6%BA%90%E5%B0%91%E5%B9%B4"
2025.6.29,"CRYXTAL幽靈水晶成團週年見面會","偶像見面會","1,000+","https://static.hidol.com/hidol/fanclub/C5CD3F22-1D52-4209-8F11-E8FF45DFB0A7-AC399F06-9859-4541-A6D6-BA1ECC680069.jpeg","以強烈的 Hip-Hop 風格震撼樂壇。","https://www.hidol.com/explore?q=%E5%B9%BD%E9%9D%88%E6%B0%B4%E6%99%B6%E6%88%90%E5%9C%98%E9%80%B1%E5%B9%B4%E8%A6%8B%E9%9D%A2%E6%9C%83"
2026.1.4,"2026 ARKis 出道週年見面會：一起走過的四季","偶像見面會","N/A","https://static.hidol.com/hidol/fanclub/bedddba5-efb3-4ad6-8b0f-38fd72fdee2f-1763041813090.jpg","看ARKis見面會🥰，在出道一週年的重要時刻，ARKis 八位成員將化身中世紀公爵王子，重新演繹韋瓦第經典代表作《四季》。","https://www.hidol.com/explore?q=%E6%88%91%E5%80%91%E4%B8%80%E8%B5%B7%E8%B5%B0%E9%81%8E%E7%9A%84%E5%9B%9B%E5%AD%A3"
2026.1.19,"FenIX參分甜 做蛋糕","互動錄影","3,000+","https://static.hidol.com/hidol/fanclub/B3F7D255-1E53-4417-A351-0D580DB134BB-2D9A7539-A9F7-450B-8531-C419B5024817.jpeg","夢幻的甜點互動，獨家設計款蛋糕、一起手做","https://www.hidol.com/explore?q=%23%E5%8F%83%E5%88%86%E7%94%9C%E7%9A%84moment"
